dataset	cell_type	target	perturbation	program	n_program_genes	n_sig_fdr	mean_abs_Z	mean_FC	network_score
GSE154778_primary	myeloid	TACC1	OE	TNF_NFkB	8	0	1.03576136409632	0.201587208477435	3.66444437290251e-14
GSE154778_primary	myeloid	TACC1	OE	angiogenesis	7	0	1.15519302080672	0.00401412766170745	3.2063888262897e-14
GSE154778_primary	myeloid	TACC1	OE	TGFb_fibrosis	10	0	1.13139833514086	0.216750098710043	4.58055546612814e-14
GSE155698_primary	T_NK	EPAS1	KO	endothelial	9	1	1.8875997565022	444.258995797655	16.0000000000006
GSE155698_primary	T_NK	EPAS1	KO	CAF_ECM	8	0	1.34836373993663	0.0263496991007551	5.95568643343361e-13
GSE155698_primary	T_NK	EPAS1	KO	myeloid_inflammation	10	0	1.37995770096938	0.0594829118490635	7.44460804179201e-13
GSE155698_primary	T_NK	EPAS1	KO	cytotoxic_TNK	7	0	0.564355116518618	1.35383755195629	0.916873934099342
GSE155698_primary	T_NK	EPAS1	KO	T_exhaustion	7	0	0.403840057127627	0.119998861384434	5.21122562925441e-13
GSE155698_primary	T_NK	EPAS1	KO	TNF_NFkB	7	0	0.733165397959991	0.188545438814428	5.21122562925441e-13
GSE155698_primary	T_NK	EPAS1	KO	angiogenesis	6	1	1.93599189655419	666.388493696483	16.0000000000004
GSE155698_primary	T_NK	EPAS1	KO	TGFb_fibrosis	10	0	1.24511454265672	0.0427202042935528	7.44460804179201e-13
GSE155698_primary	T_NK	EPAS1	OE	endothelial	9	0	1.32870953909783	1.02490592182602e-23	6.20544724727045e-14
GSE155698_primary	T_NK	EPAS1	OE	CAF_ECM	8	0	1.28070325898309	0.128019438471346	5.51595310868485e-14
GSE155698_primary	T_NK	EPAS1	OE	myeloid_inflammation	10	0	1.16160956935348	0.34368923793647	0.049278552933755
GSE155698_primary	T_NK	EPAS1	OE	cytotoxic_TNK	7	0	0.807777984720071	1.78103233313852	0.47179999194278
GSE155698_primary	T_NK	EPAS1	OE	T_exhaustion	7	0	0.994747822333375	0.0795704867268161	4.82645897009924e-14
GSE155698_primary	T_NK	EPAS1	OE	TNF_NFkB	7	0	1.17679165052319	0.287946489536359	0.0492785529337343
GSE155698_primary	T_NK	EPAS1	OE	angiogenesis	6	0	1.21229133476562	0.0158228096761261	4.13696483151363e-14
GSE155698_primary	T_NK	EPAS1	OE	TGFb_fibrosis	10	0	1.19875470019151	0.0403474203677045	6.89494138585606e-14
GSE155698_primary	T_NK	HERPUD1	KO	endothelial	9	0	1.68102862025059	0.0835988095017282	4.35769938861008e-12
GSE155698_primary	T_NK	HERPUD1	KO	CAF_ECM	8	0	1.25600345085313	0.000737193133390579	3.8735105676534e-12
GSE155698_primary	T_NK	HERPUD1	KO	myeloid_inflammation	10	0	1.32790219269527	0.0151416051582938	4.84188820956675e-12
GSE155698_primary	T_NK	HERPUD1	KO	cytotoxic_TNK	7	0	0.616780456240865	0.658058774982066	3.38932174669673e-12
GSE155698_primary	T_NK	HERPUD1	KO	T_exhaustion	7	0	0.377212560100718	0.0746649572193438	3.38932174669673e-12
GSE155698_primary	T_NK	HERPUD1	KO	TNF_NFkB	7	0	0.708861002108282	0.326874583099108	3.38932174669673e-12
GSE155698_primary	T_NK	HERPUD1	KO	angiogenesis	6	0	1.61860009141907	0.125398214252592	2.90513292574005e-12
