patient_id	sample_id	genes_detected	library_size	mapped_to_reference
TCGA-F2-A8YN	TCGA-F2-A8YN-01A	31554	43971422	60616
TCGA-HZ-A4BK	TCGA-HZ-A4BK-01A	33023	43428254	60616
TCGA-3A-A9IC	TCGA-3A-A9IC-01A	31977	48740096	60616
TCGA-US-A77E	TCGA-US-A77E-01A	34009	50712788	60616
TCGA-H6-A45N	TCGA-H6-A45N-01A	32383	26587371	60616
TCGA-IB-7645	TCGA-IB-7645-01A	32395	51288706	60616
TCGA-2J-AAB9	TCGA-2J-AAB9-01A	28330	21834696	60616
TCGA-FB-A4P6	TCGA-FB-A4P6-01A	32126	29478567	60616
TCGA-RB-AA9M	TCGA-RB-AA9M-01A	34194	45985255	60616
TCGA-3E-AAAY	TCGA-3E-AAAY-01A	35197	43882434	60616
TCGA-IB-7646	TCGA-IB-7646-01A	30130	45906444	60616
TCGA-US-A776	TCGA-US-A776-01A	32823	49055643	60616
TCGA-2J-AABH	TCGA-2J-AABH-01A	33248	54930655	60616
TCGA-L1-A7W4	TCGA-L1-A7W4-01A	33123	49417780	60616
TCGA-XN-A8T3	TCGA-XN-A8T3-01A	33985	41538842	60616
TCGA-IB-7891	TCGA-IB-7891-01A	31397	56011966	60616
TCGA-HZ-7925	TCGA-HZ-7925-01A	33451	75202403	60616
TCGA-S4-A8RP	TCGA-S4-A8RP-01A	34500	39210346	60616
TCGA-2J-AABU	TCGA-2J-AABU-01A	27533	19381236	60616
TCGA-Q3-A5QY	TCGA-Q3-A5QY-01A	33943	45557375	60616
TCGA-IB-7889	TCGA-IB-7889-01A	31247	56786673	60616
TCGA-FB-A5VM	TCGA-FB-A5VM-01A	31158	44776273	60616
TCGA-F2-A44H	TCGA-F2-A44H-01A	27574	24762465	60616
TCGA-IB-7890	TCGA-IB-7890-01A	29909	43906254	60616
TCGA-HZ-A77P	TCGA-HZ-A77P-01A	34256	59419270	60616
TCGA-FB-AAQ0	TCGA-FB-AAQ0-01A	32253	38088256	60616
TCGA-Z5-AAPL	TCGA-Z5-AAPL-01A	31897	36219696	60616
TCGA-2J-AAB6	TCGA-2J-AAB6-01A	29766	39312447	60616
TCGA-LB-A8F3	TCGA-LB-A8F3-01A	31119	50107572	60616
TCGA-IB-A5SO	TCGA-IB-A5SO-01A	34762	59927941	60616
