sample	patient	n_spots	n_in_tissue	n_position_matched	n_genes_median	total_counts_median	n_endo_up	n_endo_down	n_vascular_markers	EPAS1_vascular_rho	EPAS1_program_rho	program_vascular_rho	image_present	scalefactor_present
GSM8641068_C3_D12_ROI1_s2	D12	4145	4145	4145	4957.0	12830.0	7	17	3	0.237357633699272	-0.0541226134246517	0.0001045596999114	True	True
GSM8641069_C3_D12_ROI2_s1	D12	3240	3240	3240	8006.5	36319.5	7	17	3	0.283019053238476	0.0520970617993573	0.108379868679456	True	True
GSM8641070_C3_D12_ROI2_s2	D12	3295	3295	3295	5851.0	19570.0	7	17	3	0.176058280895717	-0.0076539916701404	0.081718327116502	True	True
GSM8641071_C3_D12_ROI3_s1	D12	3498	3498	3498	8446.0	43328.5	7	17	3	0.309012559310551	-0.148346639645454	-0.0123607220584844	True	True
GSM8641072_C3_D12_ROI3_s2	D12	2590	2590	2590	5987.5	20134.5	7	17	3	0.207423228705803	-0.0356864907616701	0.0694326371860665	True	True
GSM8641073_C3_D12_ROI4_s1	D12	3477	3477	3477	9395.0	61571.0	7	17	3	0.368604209260159	0.0478931566638565	0.152390145202677	True	True
GSM8641074_C3_D12_ROI4_s2	D12	2691	2691	2691	6025.0	20631.0	7	17	3	0.218542800391282	-0.0307774897243969	0.0332708027747671	True	True
GSM8641075_C3_D1_ROI1	D1	2783	2783	2783	3453.0	8082.0	7	17	3	0.159477165540264	0.0152442901661621	0.0233979231786285	True	True
GSM8641076_C3_D1_ROI2	D1	2470	2470	2470	3138.5	6989.5	7	17	3	-0.248208713022361	-0.252760301538137	0.0439068931957484	True	True
GSM8641077_C3_D1_ROI3	D1	2559	2559	2559	6830.0	36864.0	7	17	3	0.255436187169251	-0.101635845311304	0.0061863099442845	True	True
GSM8641078_C3_D1_ROI4	D1	2684	2684	2684	3297.5	7257.0	7	17	3	0.170096137255746	0.0225457144748324	0.142722778193892	True	True
GSM8641079_C3_D2_ROI1	D2	3089	3089	3089	5627.0	16230.0	7	17	3	0.241026876849683	-0.061401969217437	-0.0447465033316071	True	True
GSM8641080_C3_D2_ROI2	D2	2672	2672	2672	5700.5	15949.5	7	17	3	0.273820426724334	-0.10654217236162	-0.0708294437815245	True	True
GSM8641081_C3_D2_ROI3	D2	3089	3089	3089	5182.0	15617.0	7	17	3	0.219727263080104	-0.0194764872096329	-0.0238968171947712	True	True
GSM8641082_C3_D2_ROI4	D2	3364	3364	3364	3948.0	10052.0	7	17	3	0.150284334981952	-0.0287626020037229	-0.0173744163984911	True	True
GSM8641083_C3_D3_ROI1	D3	3340	3340	3340	6059.0	27216.0	7	17	3	0.29830274411388	0.0296384666288036	0.0238269191970458	True	True
GSM8641084_C3_D3_ROI2	D3	3177	3177	3177	6504.0	25305.0	7	17	3	0.230519052611212	-0.0938574518811099	-0.118409253812877	True	True
GSM8641085_C3_D3_ROI3	D3	3862	3862	3862	6878.5	27071.5	7	17	3	0.2814389590182	-0.152253347265427	-0.196862617256235	True	True
GSM8641086_C3_D3_ROI4	D3	1940	1940	1940	5637.5	19719.5	7	17	3	0.394712651229965	-0.0751143280046927	-0.0546832070078901	True	True
GSM8641087_C3_D4_ROI1	D4	2927	2927	2927	6273.0	20422.0	7	17	3	0.309970955780281	-0.0685097842937756	-0.12183213001807	True	True
GSM8641088_C3_D4_ROI2	D4	4060	4060	4060	6375.0	21265.5	7	17	3	0.295358866581796	-0.0563290641994428	0.0341349733928138	True	True
GSM8641089_C3_D4_ROI3	D4	2364	2364	2364	1921.5	3578.0	7	17	3	0.355547192914612	-0.0329084575645333	-0.017299071700637	True	True
GSM8641090_C3_D4_ROI4	D4	3894	3894	3894	6706.0	23481.0	7	17	3	0.302352424678174	0.14802095256753	0.296906427932779	True	True
GSM8641091_C3_D5_ROI1	D5	3577	3577	3577	6463.0	20606.0	7	17	3	0.158122754837196	0.0617612828096714	0.0836274281852128	True	True
GSM8641092_C3_D5_ROI2	D5	3040	3040	3040	5166.5	14247.5	7	17	3	0.279816768934897	0.0047743820335905	0.0302398233459689	True	True
GSM8641093_C3_D5_ROI3	D5	3091	3091	3091	4966.0	13164.0	7	17	3	0.235689147248305	-2.59385722444474e-05	-0.0066287736584538	True	True
GSM8641094_C3_D5_ROI4	D5	3347	3347	3347	5094.0	13606.0	7	17	3	0.178430049239324	-0.0341697685454722	-0.0124188756645006	True	True
GSM8641095_C3_D6_ROI1	D6	3509	3509	3509	3449.0	7838.0	7	17	3	0.462511413423718	0.0120393658395831	0.058096467037898	True	True
GSM8641096_C3_D6_ROI2	D6	4216	4216	4216	3460.5	8153.0	7	17	3	0.245161955603196	-0.0379439754493029	-0.0119541567141781	True	True
GSM8641097_C3_D6_ROI3	D6	3336	3336	3336	1369.5	2329.5	7	17	3	0.299165392404442	-0.0273792530395958	-0.0444590194734549	True	True
GSM8641098_C3_D6_ROI4	D6	2649	2649	2649	2762.0	6080.0	7	17	3	0.26266801102943	-0.0169952968580662	0.0197199737214878	True	True
GSM8641099_C3_D7_ROI1	D7	2760	2760	2760	1335.5	2251.5	7	17	3	0.314910329543903	-0.0206298233648336	-0.024400804971937	True	True
GSM8641100_C3_D7_ROI2	D7	3147	3147	3147	3671.0	9183.0	7	17	3	0.245565265281379	-0.0429506229747155	-0.0208977819476367	True	True
GSM8641101_C3_D7_ROI3	D7	3651	3651	3651	3617.0	9187.0	7	17	3	0.186209827516787	-0.0004939839413138	0.0377343309159708	True	True
GSM8641102_C3_D7_ROI4	D7	4152	4152	4152	3479.0	9567.0	7	17	3	0.20304077414007	0.0254511181960481	0.0076644195330027	True	True
GSM8641103_C3_D8_ROI1	D8	3840	3840	3840	5216.0	20894.5	7	17	3	0.203427796627871	-0.0006925548096879	0.0396177817232447	True	True
GSM8641104_C3_D8_ROI2	D8	4561	4561	4561	4982.0	13553.0	7	17	3	0.267694528429675	-0.100496450892637	-0.0289131908775433	True	True
GSM8641105_C3_D8_ROI3	D8	4399	4399	4399	5898.0	29449.0	7	17	3	0.343554015300537	0.0724675466530714	0.106184190406282	True	True
GSM8641106_C3_D8_ROI4	D8	3094	3094	3094	1717.0	3088.5	7	17	3	0.322612736804331	-0.123950249943008	-0.175689493588521	True	True
GSM8641107_C3_D9_ROI1	D9	3571	3571	3571	6156.0	19415.0	7	17	3	0.199429158596984	0.110469002660203	0.143332066880505	True	True
GSM8641108_C3_D9_ROI2	D9	3996	3996	3996	3098.5	7180.5	7	17	3	0.246478679771938	-0.0487547172371786	-0.0192152155753003	True	True
GSM8641109_C3_D9_ROI3	D9	3156	3156	3156	6873.5	22231.0	7	17	3	0.250713713910559	0.0322891476527811	0.154716027163125	True	True
GSM8641110_C3_D9_ROI4	D9	3064	3064	3064	5372.0	14575.0	7	17	3	0.328549928983031	-0.021138270816634	-0.0111062722092209	True	True
