source_table	program	before	after	delta	proxy	dataset	cell_type	target	n_cells	n_genes	perturbation	n_sig_fdr	n_program_genes	mean_abs_Z	mean_FC	network_score
network_summary	TNF_NFkB					GSE154778_primary	endothelial	MARCKS			KO	0	8.0	1.32091653760108	0.727710356689862	0.366490201310837
network_summary	angiogenesis					GSE154778_primary	endothelial	MARCKS			KO	0	7.0	0.480364367917886	0.151678694959396	3.2890799065484e-12
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	MARCKS			KO	0	10.0	0.739492198845223	0.0088672870696438	4.69868558078343e-12
network_summary	endothelial					GSE154778_primary	endothelial	MARCKS			OE	0	10.0	0.875395122753995	0.773173884953652	0.019127716665779
network_summary	CAF_ECM					GSE154778_primary	endothelial	MARCKS			OE	0	8.0	0.904920644531024	0.168444966755337	2.54582451170069e-14
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	MARCKS			OE	0	10.0	1.13164803086408	0.169904245944365	3.18228063962586e-14
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	MARCKS			OE	0	7.0	1.40254844610442	1.02890320327299e-26	2.2275964477381e-14
network_summary	T_exhaustion					GSE154778_primary	endothelial	MARCKS			OE	0	7.0	1.31091476145446	0.0926343809984341	2.2275964477381e-14
network_summary	TNF_NFkB					GSE154778_primary	endothelial	MARCKS			OE	0	8.0	1.26617449682594	0.480971469417009	2.54582451170069e-14
network_summary	angiogenesis					GSE154778_primary	endothelial	MARCKS			OE	0	7.0	0.922651948788229	0.37347908451993	2.2275964477381e-14
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	MARCKS			OE	0	10.0	1.05202204273803	0.346325293642516	3.18228063962586e-14
network_summary	endothelial					GSE154778_primary	endothelial	TACC1			KO	0	10.0	0.527010038519682	0.424906482377363	0.0588087835918279
network_summary	CAF_ECM					GSE154778_primary	endothelial	TACC1			KO	0	8.0	1.07387478325078	0.369154445924944	0.0147343177822371
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	TACC1			KO	0	10.0	1.36973524420835	0.0052324330671781	8.782612401642939e-12
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	TACC1			KO	0	7.0	1.494078961103	0.0310071741698131	6.14782868115006e-12
network_summary	T_exhaustion					GSE154778_primary	endothelial	TACC1			KO	0	7.0	1.45164066768411	0.0028110685344546	6.14782868115006e-12
network_summary	TNF_NFkB					GSE154778_primary	endothelial	TACC1			KO	0	8.0	1.31374326780818	0.371921287339909	0.0139345487046364
network_summary	angiogenesis					GSE154778_primary	endothelial	TACC1			KO	0	7.0	0.457820528982771	0.508594839486386	0.0588087835891931
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	TACC1			KO	0	10.0	0.690326158163127	0.006103766832706	8.782612401642939e-12
network_summary	endothelial					GSE154778_primary	endothelial	TACC1			OE	0	10.0	0.915994079311722	0.975850094450951	0.26912893585507
network_summary	CAF_ECM					GSE154778_primary	endothelial	TACC1			OE	0	8.0	0.911998024376868	0.276738786852125	2.32518638735406e-12
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	TACC1			OE	0	10.0	1.11196516632824	0.201023935864427	2.9064829841925798e-12
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	TACC1			OE	0	7.0	1.37713477989008	4.91144476546406e-21	2.03453808893481e-12
network_summary	T_exhaustion					GSE154778_primary	endothelial	TACC1			OE	0	7.0	1.27977973711908	0.0397444925280017	2.03453808893481e-12
network_summary	TNF_NFkB					GSE154778_primary	endothelial	TACC1			OE	0	8.0	1.28035320072205	0.676483745657322	0.0397853048229594
network_summary	angiogenesis					GSE154778_primary	endothelial	TACC1			OE	0	7.0	0.944471469701939	0.43051587322496	2.03453808893481e-12
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	TACC1			OE	0	10.0	1.02857281645397	0.505809144315043	0.109116044190798
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	EPAS1			KO	8	10.0	1.54642584335744	407.195904619401	36.5764013782163
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	8.0	0.360052331206669	0.460085028976892	4.60948529012502e-13
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	10.0	1.22491512208742	0.740383422708413	0.662554644345667
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	7.0	1.57629810203472	0.649405728507535	0.245973019490999
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	7.0	1.53049255236237	0.0855654576150474	4.03329962885939e-13
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	8.0	1.01944856362254	0.623442860314242	4.60948529012502e-13
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	EPAS1			KO	4	7.0	1.5235951008374	571.841713691617	24.5425707692981
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	EPAS1			KO	0	10.0	0.534460243207367	0.475571819794573	5.76185661265627e-13
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	10.0	0.794301563846351	0.319100413426282	0.0236192740231166
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	8.0	0.727535598419056	0.488529645739831	0.0236192740231038
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	10.0	1.23731602481143	0.0066633225204745	6.41277765257941e-14
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	7.0	1.20832367062997	0.0073553802607889	4.48894435680558e-14
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	7.0	1.29841527230187	3.02280295363089e-27	4.48894435680558e-14
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	8.0	1.24343020465602	0.172908078546425	0.0236192740231038
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	7.0	0.951753037392	0.325641487913498	0.0236192740230974
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	EPAS1			OE	0	10.0	1.00484949185296	0.178309322229216	6.41277765257941e-14
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	10.0	0.721358228258948	0.146763568505656	6.45183291497956e-12
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	1	8.0	0.505810400702334	1.60162077158351	1.39863210476182
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	10.0	1.00884513434086	0.0454478402046381	6.45183291497956e-12
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	7.0	1.42010785133174	0.0024545264148521	4.516283040485689e-12
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	7.0	1.35663810674519	3.39790538077745e-05	4.516283040485689e-12
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	8.0	0.769905943973818	0.0622263958204865	5.16146633198365e-12
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	7.0	0.663030497444524	0.0857371121976448	4.516283040485689e-12
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	HERPUD1			KO	0	10.0	0.513625382535962	0.0798544265336267	6.45183291497956e-12
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	10.0	0.836973611876859	0.384142633977567	2.3626022930555602e-14
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	8.0	0.732364803947068	0.528156994586826	1.89008183444445e-14
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	10.0	1.26877474045713	0.0398555206649083	2.3626022930555602e-14
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	7.0	1.21532742190131	0.0076044638085296	1.65382160513889e-14
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	7.0	1.31739673314444	2.20689680214043e-27	1.65382160513889e-14
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	8.0	1.24810663976801	0.0686527670585083	1.89008183444445e-14
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	7.0	0.991842612567971	0.431873053213015	1.65382160513889e-14
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	HERPUD1			OE	0	10.0	1.0253843535009	0.451556056670887	0.136715655275363
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	10.0	0.323106966899372	0.0011686320045196	5.94507883130142e-13
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	MARCKS			KO	3	8.0	1.16155406937464	6.45759911663769	6.72817651446641
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	10.0	0.984629920626339	0.0848963921481502	5.94507883130142e-13
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	7.0	1.37498688429682	0.0010112851889585	4.1615551819109995e-13
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	7.0	1.3966337985099	0.0001653047451267	4.1615551819109995e-13
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	8.0	0.573634183461258	0.0009880336118716	4.75606306504114e-13
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	MARCKS			KO	0	7.0	0.387033974488327	0.0015009810618111	4.1615551819109995e-13
