direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
to_endothelial	endothelial	endothelial	NAMPT	INSR	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0002211510841495	0.0
from_endothelial	endothelial	endothelial	NAMPT	INSR	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0002211510841495	0.0
from_endothelial	endothelial	T_NK	APP	CD74	APP	3	GSE154778,GSE155698,GSE212966	0.0002193411729905	0.0
from_endothelial	endothelial	fibroblast_CAF	COL4A1	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002171004722431	0.0
to_endothelial	epithelial	endothelial	MDK	NCL	MK	3	GSE154778,GSE155698,GSE212966	0.0002167712040718	0.0
from_endothelial	endothelial	fibroblast_CAF	LAMB1	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002163150867341	0.0
to_endothelial	endothelial	endothelial	FN1	ITGA5_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0002158801362485	0.0
from_endothelial	endothelial	endothelial	FN1	ITGA5_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0002158801362485	0.0
from_endothelial	endothelial	myeloid	LAMA4	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002137133061539	0.0
to_endothelial	malignant_epithelial	endothelial	MDK	NCL	MK	3	GSE154778,GSE155698,GSE212966	0.0002120249283143	0.0
from_endothelial	endothelial	epithelial	COL4A2	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002091161262313	0.0
to_endothelial	malignant_epithelial	endothelial	LAMC2	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002086712983782	0.0
from_endothelial	endothelial	B_cell	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002079146432258	0.0
to_endothelial	B_cell	endothelial	NAMPT	ITGA5_ITGB1	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.000207550561723	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A3	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.000207129152337	0.0
to_endothelial	epithelial	endothelial	LAMC2	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002068260154194	0.0
to_endothelial	endothelial	endothelial	LAMC1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002061700739875	0.0
from_endothelial	endothelial	endothelial	LAMC1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002061700739875	0.0
from_endothelial	endothelial	mast	LAMC1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002047572033219	0.0
to_endothelial	endothelial	endothelial	COL4A2	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002043698844694	0.0
from_endothelial	endothelial	endothelial	COL4A2	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002043698844694	0.0
to_endothelial	endothelial	endothelial	LAMA4	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002043517015599	0.0
from_endothelial	endothelial	endothelial	LAMA4	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002043517015599	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A3	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002042733951147	0.0
from_endothelial	endothelial	epithelial	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.000203903853435	0.0
from_endothelial	endothelial	fibroblast_CAF	FN1	ITGAV_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0002030668971046	0.0
to_endothelial	CD8	endothelial	GZMA	F2RL3	PARs	3	GSE154778,GSE155698,GSE212966	0.0002030108827214	0.0
to_endothelial	endothelial	endothelial	COL4A1	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002025696428719	0.0
from_endothelial	endothelial	endothelial	COL4A1	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002025696428719	0.0
from_endothelial	endothelial	malignant_epithelial	LAMB1	ITGA2_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002016548326408	0.0
from_endothelial	endothelial	mast	LAMA4	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002015534460611	0.0
from_endothelial	endothelial	CD8	LAMC1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002007131958866	0.0
from_endothelial	endothelial	mast	COL6A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002004051140544	0.0
to_endothelial	epithelial	endothelial	LAMB3	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002003993000826	0.0
from_endothelial	endothelial	fibroblast_CAF	COL4A1	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002002199656168	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A2	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002001093394266	0.0
to_endothelial	myeloid	endothelial	FN1	ITGA5_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0002000932798586	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A2	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001994652349981	0.0
from_endothelial	endothelial	CD8	LAMA4	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001991214929178	0.0
from_endothelial	endothelial	malignant_epithelial	LAMB1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001989748505037	0.0
to_endothelial	fibroblast_CAF	endothelial	COL4A1	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001989043066915	0.0
to_endothelial	B_cell	endothelial	NAMPT	INSR	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0001975725085679	0.0
from_endothelial	endothelial	myeloid	COL6A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001942943733656	0.0
from_endothelial	endothelial	CD8	COL6A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001935220184789	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A2	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001929953442609	0.0
